unique_video_id,split,status,length
train_asd_Subj_1_part_1,train,ok,30
train_asd_Subj_1_part_10,train,ok,30
train_asd_Subj_1_part_100,train,ok,30
train_asd_Subj_1_part_101,train,ok,30
train_asd_Subj_1_part_102,train,ok,30
train_asd_Subj_1_part_103,train,ok,30
train_asd_Subj_1_part_104,train,ok,30
train_asd_Subj_1_part_105,train,ok,30
train_asd_Subj_1_part_106,train,ok,30
train_asd_Subj_1_part_107,train,ok,30
train_asd_Subj_1_part_108,train,ok,30
train_asd_Subj_1_part_109,train,ok,30
train_asd_Subj_1_part_11,train,ok,30
train_asd_Subj_1_part_110,train,ok,30
train_asd_Subj_1_part_111,train,ok,30
train_asd_Subj_1_part_112,train,ok,30
train_asd_Subj_1_part_113,train,ok,30
train_asd_Subj_1_part_114,train,ok,30
train_asd_Subj_1_part_115,train,ok,30
train_asd_Subj_1_part_116,train,ok,30
train_asd_Subj_10_part_1,train,ok,30
train_asd_Subj_10_part_10,train,ok,30
train_asd_Subj_10_part_100,train,ok,30
train_asd_Subj_10_part_101,train,ok,30
train_asd_Subj_10_part_102,train,ok,30
train_asd_Subj_10_part_103,train,ok,30
train_asd_Subj_10_part_104,train,ok,30
train_asd_Subj_10_part_105,train,ok,30
train_asd_Subj_10_part_106,train,ok,30
train_asd_Subj_10_part_107,train,ok,30
train_asd_Subj_10_part_108,train,ok,30
train_asd_Subj_10_part_109,train,ok,30
train_asd_Subj_10_part_11,train,ok,30
train_asd_Subj_10_part_110,train,ok,30
train_asd_Subj_10_part_111,train,ok,30
train_asd_Subj_10_part_112,train,ok,30
train_asd_Subj_10_part_113,train,ok,30
train_asd_Subj_10_part_114,train,ok,30
train_asd_Subj_10_part_115,train,ok,30
train_asd_Subj_10_part_116,train,ok,30
train_asd_Subj_11_part_1,train,ok,30
train_asd_Subj_11_part_10,train,ok,30
train_asd_Subj_11_part_100,train,ok,30
train_asd_Subj_11_part_101,train,ok,30
train_asd_Subj_11_part_102,train,ok,30
train_asd_Subj_11_part_103,train,ok,30
train_asd_Subj_11_part_104,train,ok,30
