unique_video_id,split,status,length
train_asd_Subj_1_part_1,train,ok,30
train_asd_Subj_1_part_10,train,ok,30
train_asd_Subj_1_part_100,train,ok,30
train_asd_Subj_1_part_101,train,ok,30
train_asd_Subj_1_part_102,train,ok,30
train_asd_Subj_1_part_103,train,ok,30
train_asd_Subj_1_part_104,train,ok,30
train_asd_Subj_1_part_105,train,ok,30
train_asd_Subj_1_part_106,train,ok,30
train_asd_Subj_1_part_107,train,ok,30
train_asd_Subj_1_part_108,train,ok,30
train_asd_Subj_1_part_109,train,ok,30
train_asd_Subj_1_part_11,train,ok,30
train_asd_Subj_1_part_110,train,ok,30
train_asd_Subj_1_part_111,train,ok,30
train_asd_Subj_1_part_112,train,ok,30
train_asd_Subj_1_part_113,train,ok,30
train_asd_Subj_1_part_114,train,ok,30
train_asd_Subj_1_part_115,train,ok,30
train_asd_Subj_1_part_116,train,ok,30
train_asd_Subj_1_part_117,train,ok,30
train_asd_Subj_1_part_118,train,ok,30
train_asd_Subj_1_part_119,train,ok,30
train_asd_Subj_1_part_12,train,ok,30
train_asd_Subj_1_part_120,train,ok,30
train_asd_Subj_1_part_121,train,ok,30
train_asd_Subj_1_part_13,train,ok,30
train_asd_Subj_1_part_14,train,ok,30
train_asd_Subj_1_part_15,train,ok,30
train_asd_Subj_1_part_16,train,ok,30
train_asd_Subj_1_part_17,train,ok,30
train_asd_Subj_1_part_18,train,ok,30
train_asd_Subj_1_part_19,train,ok,30
train_asd_Subj_1_part_2,train,ok,30
train_asd_Subj_1_part_20,train,ok,30
train_asd_Subj_1_part_21,train,ok,30
train_asd_Subj_1_part_22,train,ok,30
train_asd_Subj_1_part_23,train,ok,30
train_asd_Subj_1_part_24,train,ok,30
train_asd_Subj_1_part_25,train,ok,30
train_asd_Subj_1_part_26,train,ok,30
train_asd_Subj_1_part_27,train,ok,30
train_asd_Subj_1_part_28,train,ok,30
train_asd_Subj_1_part_29,train,ok,30
train_asd_Subj_1_part_3,train,ok,30
train_asd_Subj_1_part_30,train,ok,30
train_asd_Subj_1_part_31,train,ok,30
